Dominios;AÑO;MES ;Clases industriales;"Producción 
nominal";"Producción 
real";"Ventas
nominal";"Ventas
reales";Empleo  Total
1520;2001;1;Fabricación de calzado ;33.0104;52.9457;33.0483;52.6265;112.0691
1520;2001;2;Fabricación de calzado ;42.9887;67.2192;38.2210;59.9102;127.5592
1520;2001;3;Fabricación de calzado ;49.7737;77.1464;48.7100;75.6003;135.7389
1520;2001;4;Fabricación de calzado ;46.4394;70.9980;47.8570;72.8712;138.4528
1520;2001;5;Fabricación de calzado ;52.5256;78.3284;56.2824;84.0249;149.0617
1520;2001;6;Fabricación de calzado ;46.4489;68.6117;48.6065;71.6093;153.0157
1520;2001;7;Fabricación de calzado ;47.1203;69.6359;45.4406;66.9932;149.3882
1520;2001;8;Fabricación de calzado ;44.2579;64.9343;42.4244;62.2811;145.7526
1520;2001;9;Fabricación de calzado ;52.6047;76.2604;48.7389;70.7218;148.4286
1520;2001;10;Fabricación de calzado ;67.1695;97.2624;69.7885;100.8261;151.0685
1520;2001;11;Fabricación de calzado ;80.6381;115.3909;80.3091;114.9952;147.7581
1520;2001;12;Fabricación de calzado ;58.0618;82.7035;86.3316;122.8248;131.9557
1520;2002;1;Fabricación de calzado ;37.3687;54.2825;33.3929;48.1921;104.9611
1520;2002;2;Fabricación de calzado ;43.3734;61.7246;38.3124;54.6859;125.4367
1520;2002;3;Fabricación de calzado ;45.3340;64.1700;41.5636;58.9081;125.7166
1520;2002;4;Fabricación de calzado ;51.9737;73.7864;55.3728;78.5114;124.0412
1520;2002;5;Fabricación de calzado ;53.4678;76.2669;53.9501;77.1017;135.1977
1520;2002;6;Fabricación de calzado ;46.0184;65.4858;42.9877;61.0184;134.2795
1520;2002;7;Fabricación de calzado ;48.4258;68.6737;42.7897;60.5177;129.0156
1520;2002;8;Fabricación de calzado ;45.2595;63.4746;43.8622;61.6022;126.0352
1520;2002;9;Fabricación de calzado ;55.0178;76.5453;50.0177;69.6078;131.5376
1520;2002;10;Fabricación de calzado ;67.9998;94.0846;68.9275;95.2375;134.7995
1520;2002;11;Fabricación de calzado ;82.0150;112.3258;83.0054;113.7292;135.8769
1520;2002;12;Fabricación de calzado ;68.0968;92.9392;96.9205;132.1059;117.0828
1520;2003;1;Fabricación de calzado ;36.6974;50.7962;30.9969;42.6133;95.5009
1520;2003;2;Fabricación de calzado ;51.3633;69.3485;44.4340;60.0481;110.7755
1520;2003;3;Fabricación de calzado ;56.1880;76.0050;48.2377;65.2060;124.0665
1520;2003;4;Fabricación de calzado ;55.6779;75.2644;60.5060;81.7059;123.7812
1520;2003;5;Fabricación de calzado ;62.7923;84.9187;59.6429;80.8071;135.8912
1520;2003;6;Fabricación de calzado ;50.5063;68.0903;48.4234;65.0594;132.6307
1520;2003;7;Fabricación de calzado ;58.1809;78.5562;48.7902;65.6318;126.5223
1520;2003;8;Fabricación de calzado ;46.4889;62.2030;40.5541;54.2537;124.9757
1520;2003;9;Fabricación de calzado ;69.7612;93.6499;56.9222;76.3713;130.4252
1520;2003;10;Fabricación de calzado ;75.8193;101.3976;68.8015;91.7077;138.4385
1520;2003;11;Fabricación de calzado ;80.9836;108.3198;73.1814;97.8723;136.0285
1520;2003;12;Fabricación de calzado ;65.7918;87.7340;102.8943;137.0607;127.1848
1520;2004;1;Fabricación de calzado ;39.4905;53.5932;35.3814;47.7531;96.3229
1520;2004;2;Fabricación de calzado ;57.7525;77.1012;46.3064;61.9286;113.0813
1520;2004;3;Fabricación de calzado ;70.9428;94.2980;56.1372;74.3992;127.6042
1520;2004;4;Fabricación de calzado ;62.4627;82.8276;64.9941;86.0831;124.7674
1520;2004;5;Fabricación de calzado ;63.9388;84.4482;62.7689;83.0685;135.4392
1520;2004;6;Fabricación de calzado ;60.5769;80.0236;54.9027;72.2423;137.0161
1520;2004;7;Fabricación de calzado ;51.5530;68.1216;47.1956;62.2913;133.7343
1520;2004;8;Fabricación de calzado ;49.7156;65.6315;45.1453;59.6561;128.7011
1520;2004;9;Fabricación de calzado ;58.6067;76.3666;54.6348;71.2883;132.5364
1520;2004;10;Fabricación de calzado ;77.7303;101.3521;77.1445;100.2987;138.0172
1520;2004;11;Fabricación de calzado ;92.5142;120.1539;80.8642;105.0028;142.4297
1520;2004;12;Fabricación de calzado ;65.5475;84.7925;96.0082;124.2107;135.6235
1520;2005;1;Fabricación de calzado ;44.3287;58.2836;40.7105;53.2138;111.2942
1520;2005;2;Fabricación de calzado ;55.7816;72.5579;51.8532;67.5999;137.5841
1520;2005;3;Fabricación de calzado ;57.0158;73.8098;52.2403;67.6859;130.0218
1520;2005;4;Fabricación de calzado ;62.9190;81.0175;67.7773;87.1841;127.5541
1520;2005;5;Fabricación de calzado ;57.0699;73.3372;55.3192;71.1835;132.3053
1520;2005;6;Fabricación de calzado ;58.4376;75.1117;56.4146;72.3314;126.5449
1520;2005;7;Fabricación de calzado ;54.9909;70.8528;54.6925;70.3622;120.6024
1520;2005;8;Fabricación de calzado ;61.4856;78.4932;59.4981;75.9946;122.7896
1520;2005;9;Fabricación de calzado ;67.2377;85.3914;63.0432;80.2179;129.7273
1520;2005;10;Fabricación de calzado ;84.0914;106.7227;91.6553;116.1490;137.5955
1520;2005;11;Fabricación de calzado ;88.7825;112.4402;83.0477;105.2388;140.2165
1520;2005;12;Fabricación de calzado ;60.9163;77.0144;100.5841;127.0660;129.6398
1520;2006;1;Fabricación de calzado ;38.7229;49.7836;38.1236;48.7427;99.6525
1520;2006;2;Fabricación de calzado ;45.0358;57.1410;43.8834;55.8717;112.4740
1520;2006;3;Fabricación de calzado ;62.6217;79.3880;60.6637;77.0366;122.0716
1520;2006;4;Fabricación de calzado ;55.7495;70.4778;61.1919;77.3068;119.3147
1520;2006;5;Fabricación de calzado ;63.1916;79.2908;60.6885;76.3317;124.2937
1520;2006;6;Fabricación de calzado ;59.7721;74.7991;62.3435;77.9758;117.7460
1520;2006;7;Fabricación de calzado ;58.1684;73.0539;60.9344;76.4023;118.6221
1520;2006;8;Fabricación de calzado ;60.2088;75.2708;60.4153;75.6043;121.5671
1520;2006;9;Fabricación de calzado ;72.3606;90.1484;68.6543;85.6561;129.3025
1520;2006;10;Fabricación de calzado ;84.1020;104.7446;92.1817;114.6678;135.4153
1520;2006;11;Fabricación de calzado ;88.8948;110.7173;93.2232;116.2229;130.7084
1520;2006;12;Fabricación de calzado ;82.1675;102.2037;116.4585;144.7081;118.9959
1520;2007;1;Fabricación de calzado ;47.5343;60.0570;46.6465;58.5607;101.5458
1520;2007;2;Fabricación de calzado ;59.7379;74.8688;54.5173;68.5691;116.3593
1520;2007;3;Fabricación de calzado ;76.1711;94.5383;67.8262;84.2361;116.9320
1520;2007;4;Fabricación de calzado ;64.3507;79.8948;68.2197;84.5312;114.9747
1520;2007;5;Fabricación de calzado ;69.4186;86.1068;68.4750;85.0475;122.1848
1520;2007;6;Fabricación de calzado ;65.9156;81.8747;65.9858;81.7602;123.4478
1520;2007;7;Fabricación de calzado ;65.8435;81.8122;67.0105;83.0689;122.3312
1520;2007;8;Fabricación de calzado ;64.3295;79.4452;65.3557;80.7985;124.5271
1520;2007;9;Fabricación de calzado ;74.7792;92.3922;75.5023;93.4128;128.5653
1520;2007;10;Fabricación de calzado ;97.1644;119.9803;108.1109;133.2901;135.4934
1520;2007;11;Fabricación de calzado ;108.1858;132.7598;99.8159;122.6062;132.2881
1520;2007;12;Fabricación de calzado ;74.3708;91.4025;148.7589;182.8996;109.2470
1520;2008;1;Fabricación de calzado ;38.7133;48.3015;44.4046;55.1851;88.2088
1520;2008;2;Fabricación de calzado ;66.1671;80.9014;59.8340;73.4058;106.1818
1520;2008;3;Fabricación de calzado ;60.3846;73.3246;61.9400;75.3273;104.3380
1520;2008;4;Fabricación de calzado ;69.2431;83.7637;76.2060;92.0708;102.8616
1520;2008;5;Fabricación de calzado ;60.6892;73.3124;65.3330;79.1737;105.3904
1520;2008;6;Fabricación de calzado ;59.2708;71.7532;59.1937;71.4692;107.0202
1520;2008;7;Fabricación de calzado ;67.4110;81.5762;69.3603;83.6998;100.4086
1520;2008;8;Fabricación de calzado ;58.8698;71.0138;54.1125;65.2212;102.1869
1520;2008;9;Fabricación de calzado ;79.8798;95.8975;75.2583;90.4052;109.9590
1520;2008;10;Fabricación de calzado ;104.2996;124.2169;104.3666;123.9268;112.7197
