Dominios;AÑO;MES ;Clases industriales;"Producción 
nominal";"Producción 
real";"Ventas
nominal";"Ventas
reales";Empleo  Total
1520;2001;1;Fabricación de calzado ;33,0;52,9;33,0;52,6;112,1
1520;2001;2;Fabricación de calzado ;43,0;67,2;38,2;59,9;127,6
1520;2001;3;Fabricación de calzado ;49,8;77,1;48,7;75,6;135,7
1520;2001;4;Fabricación de calzado ;46,4;71,0;47,9;72,9;138,5
1520;2001;5;Fabricación de calzado ;52,5;78,3;56,3;84,0;149,1
1520;2001;6;Fabricación de calzado ;46,4;68,6;48,6;71,6;153,0
1520;2001;7;Fabricación de calzado ;47,1;69,6;45,4;67,0;149,4
1520;2001;8;Fabricación de calzado ;44,3;64,9;42,4;62,3;145,8
1520;2001;9;Fabricación de calzado ;52,6;76,3;48,7;70,7;148,4
1520;2001;10;Fabricación de calzado ;67,2;97,3;69,8;100,8;151,1
1520;2001;11;Fabricación de calzado ;80,6;115,4;80,3;115,0;147,8
1520;2001;12;Fabricación de calzado ;58,1;82,7;86,3;122,8;132,0
1520;2002;1;Fabricación de calzado ;37,4;54,3;33,4;48,2;105,0
1520;2002;2;Fabricación de calzado ;43,4;61,7;38,3;54,7;125,4
1520;2002;3;Fabricación de calzado ;45,3;64,2;41,6;58,9;125,7
1520;2002;4;Fabricación de calzado ;52,0;73,8;55,4;78,5;124,0
1520;2002;5;Fabricación de calzado ;53,5;76,3;54,0;77,1;135,2
1520;2002;6;Fabricación de calzado ;46,0;65,5;43,0;61,0;134,3
1520;2002;7;Fabricación de calzado ;48,4;68,7;42,8;60,5;129,0
1520;2002;8;Fabricación de calzado ;45,3;63,5;43,9;61,6;126,0
1520;2002;9;Fabricación de calzado ;55,0;76,5;50,0;69,6;131,5
1520;2002;10;Fabricación de calzado ;68,0;94,1;68,9;95,2;134,8
1520;2002;11;Fabricación de calzado ;82,0;112,3;83,0;113,7;135,9
1520;2002;12;Fabricación de calzado ;68,1;92,9;96,9;132,1;117,1
1520;2003;1;Fabricación de calzado ;36,7;50,8;31,0;42,6;95,5
1520;2003;2;Fabricación de calzado ;51,4;69,3;44,4;60,0;110,8
1520;2003;3;Fabricación de calzado ;56,2;76,0;48,2;65,2;124,1
1520;2003;4;Fabricación de calzado ;55,7;75,3;60,5;81,7;123,8
1520;2003;5;Fabricación de calzado ;62,8;84,9;59,6;80,8;135,9
1520;2003;6;Fabricación de calzado ;50,5;68,1;48,4;65,1;132,6
1520;2003;7;Fabricación de calzado ;58,2;78,6;48,8;65,6;126,5
1520;2003;8;Fabricación de calzado ;46,5;62,2;40,6;54,3;125,0
1520;2003;9;Fabricación de calzado ;69,8;93,6;56,9;76,4;130,4
1520;2003;10;Fabricación de calzado ;75,8;101,4;68,8;91,7;138,4
1520;2003;11;Fabricación de calzado ;81,0;108,3;73,2;97,9;136,0
1520;2003;12;Fabricación de calzado ;65,8;87,7;102,9;137,1;127,2
